sample	article_group	country_group
I1495	A	A1
I1496	A	A1
I1498	A	A1
I1502	A	A1
I1507	A	A1
I5950	B	B1
I0707	C	C1
I0709	C	C1
I1583	C	C1
I0708	C	C1
I0745	C	C1
I1098	C	C1
I1580	C	C1
I1581	C	C1
I1631	D	D1
I1632	D	D1
I1633	D	D1
I1290	D	D2
I1699	D	D3
I1730	D	D3
I2367	E	E1
I1838	E	E2
I5838	E	E2
I5069	F	F1
I5070	F	F1
I2431	F	F2
I2520	F	F2
I2509	F	F2
I2510	F	F2
I2521	F	F2
I5769	F	F2
I3313	F	F3
I3433	F	F3
I5077	F	F3
I5078	F	F3
I5079	F	F3
I4437	F	F4
I4432	F	F4
I4434	F	F4
I4435	F	F4
I4436	F	F4
I4438	F	F4
I4439	F	F4
I4440	F	F4
I4441	F	F4
I4550	F	F4
I4551	F	F4
I4552	F	F4
I4553	F	F4
I4595	F	F4
I4596	F	F4
I4628	F	F4
I4632	F	F4
I2533	F	F5
I4089	F	F5
I4582	F	F5
I1131	F	F6
I4873	F	F6
I4874	F	F6
I4875	F	F6
I4876	F	F6
I4877	F	F6
I4878	F	F6
I4880	F	F6
I4881	F	F6
I4882	F	F6
I4914	F	F6
I4915	F	F6
I4916	F	F6
I4917	F	F6
I4918	F	F6
I5232	F	F6
I5233	F	F6
I5234	F	F6
I5235	F	F6
I5236	F	F6
I5237	F	F6
I5238	F	F6
I5239	F	F6
I5240	F	F6
I5242	F	F6
I5244	F	F6
I5407	F	F6
I1732	F	F7
I1734	F	F7
I1738	F	F7
I1763	F	F7
I1819	F	F7
I2105	F	F7
I4889	G	G1
I4892	G	G1
I4888	G	G1
I4893	G	G1
I7198	G	G1
I7211	G	G1
I7212	G	G1
I7213	G	G1
I7249	G	G1
I7272	G	G1
I7278	G	G1
I7281	G	G1
I7286	G	G1
I7289	G	G1
I6591	G	G2
I5835	G	G2
I2932	G	G3
I3132	G	G3
I3134	G	G3
I2443	G	G3
I2445	G	G3
I2636	G	G3
I2637	G	G3
I2650	G	G3
I2659	G	G3
I2660	G	G3
I2691	G	G3
I2859	G	G3
I2860	G	G3
I2861	G	G3
I2934	G	G3
I2935	G	G3
I2978	G	G3
I2980	G	G3
I2981	G	G3
I2988	G	G3
I3130	G	G3
I3133	G	G3
I3135	G	G3
I3136	G	G3
I3138	G	G3
I3255	G	G3
I7554	G	G3
I7568	G	G3
I7574	G	G3
I7580	G	G3
I7627	G	G3
I7042	G	G4
I5119	G	G4
I7043	G	G4
I7045	G	G4
I4075	G	G5
I4071	G	G5
I4073	G	G5
I5748	G	G5
I6579	G	G6
I6583	G	G6
I4229	G	G7
I11974	H	H1
I1752	H	H1
I3758	I	I1
I4562	I	I1
I6470	I	I1
I1524	J	J1
I1526	J	J1
I5319	J	J2
I6696	K	K1
I11456	K	K2
I11459	K	K2
I1947	K	K2
I2514	K	K2
I4773	K	K3
I4784	K	K3
I6555	K	K4
I2069	K	K5
I3389	K	K5
I6718	K	K5
I1053	K	K5
I1960	K	K5
I3387	K	K5
I3388	K	K5
I3390	K	K5
I3392	K	K5
I3394	K	K5
I3395	K	K5
I3396	K	K5
I3949	K	K5
I3950	K	K5
I3951	K	K5
I3952	K	K5
I3954	K	K5
I5269	K	K5
I5273	K	K5
I5277	K	K5
I5279	K	K5
I6714	K	K5
I6716	K	K5
I6717	K	K5
I4910	K	K6
I4634	K	K7
I4315	K	K8
I7414	K	K8
I7420	K	K8
I7421	K	K8
I7492	K	K8
I10871	L	L1
I10873	L	L1
I16168	M	M1
I3122	M	M1
I3123	M	M1
I3125	M	M1
I4062	M	M1
I4063	M	M1
I4109	M	M1
I14879	N	N1
I14922	N	N1
I15601	N	N2
I15676	N	N2
I11696	O	O1
I11697	O	O1
I14000	O	O1
I6228	O	O1
I6232	O	O1
I6348	O	O1
I6356	O	O1
I7021	O	O1
I7039	O	O1
