model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2075.963259217463,539.2923331670172,2354.671689981481,584.255137121632,-1.3678162543185617,1.3224587977490838
LinearRegression,1907.2590798426531,641.7271043123374,2405.453579255874,820.1047198125143,-1.3153294849929957,0.9611621913367363
Ridge,1907.0208538403313,643.4915437005683,2402.3217615867593,821.5211681736838,-1.3079942825702693,0.9570375006622727
Lasso,1907.260970222843,641.7264052046307,2405.4493368338053,820.0988821367343,-1.3153210810223397,0.9611611411476493
ElasticNet,1905.9721103006493,657.3160808125285,2372.4620591009298,829.5371100018837,-1.2480446091981183,0.9376818699426853
RandomForest,1762.044404484796,518.6468926821083,2038.2700526531285,516.5957003808829,-1.0026454106990241,1.3065580995904158
GradientBoosting,1766.1394969532898,566.212765907798,2072.6251531548473,539.3092107693492,-1.1063768056540497,1.4097768972746536
SVR,1953.1237513679669,773.3877451057991,2285.906813826301,849.632874572583,-1.1273501066187939,1.328454936077854
KNN,1912.0131964345394,524.5546404400117,2208.5364344918967,495.64251975575377,-1.3333495611848765,1.4127772811532693
BayesianRidge,1915.3989044840805,674.1280544737981,2352.682561042956,822.313881358602,-1.2250714050046336,0.9635279047051031
XGBoost,1746.9542112649826,556.9336933325236,2027.7943937687055,547.8638425073246,-0.9670382566595327,1.2817990277952147
DecisionTree,1854.3264897212,451.1630587826243,2101.1947138824453,427.1274821168232,-1.1299805902037154,1.3964517322624819
