model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,1838.5234460555487,425.9836983356304,2298.6678957268405,523.1673170265752,-1.2143191603604284,0.9466588958732953
Ridge,1838.0871770922636,427.53381843151516,2303.153480821965,531.1593640186318,-1.2060450790295245,0.9439354253094807
Lasso,1836.6957187569776,428.60262002766984,2303.460057328651,533.466934096847,-1.2130276301654788,0.9506423206280664
ElasticNet,1828.1272584229168,458.41035943358435,2289.8733357669325,576.4798532788078,-1.1572145498294124,0.8718203246696754
RandomForest,1738.697384308284,508.29596143455865,2028.6490907936095,491.63913518968957,-0.9033602125079796,1.1533762004722559
GradientBoosting,1739.8967604164038,437.80170047697175,2084.1212503112392,453.771141417443,-1.0859985050345444,1.2269624832021948
SVR,1792.11911659099,474.4703861398577,2228.7872089488133,572.0669231434822,-1.0695072250602866,0.9842493806251096
KNN,1961.9499036267512,378.0520470129853,2233.610847234714,373.55634069066565,-1.3756457423457848,1.4857718339553074
BayesianRidge,1830.3453861972189,465.2079975409117,2294.8990909567055,591.084021876413,-1.1515339087840284,0.8567577657990779
XGBoost,1698.5871040599577,435.0020030214481,2011.1866980226855,401.25637093382034,-0.9700899457987715,1.1997925580570947
DecisionTree,1884.6846449961279,376.0550929730062,2287.077657371376,288.3849275783274,-1.674410523552784,1.7971001853862416
