model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1788.5630615044208,494.3545407048893,2316.2962540567037,714.7755702324359,-0.2662081684212394,0.8649008636584053
Ridge,1787.2513592159894,495.57919742893057,2314.0636494512455,715.2054716793369,-0.26376842887297336,0.86206389577076
Lasso,1788.0082439059697,494.1701732621303,2314.4783814043217,712.9635022279546,-0.2642214605917341,0.8637113069970885
ElasticNet,1775.8517364188635,507.65744210764797,2292.2768612868226,712.0985057370216,-0.2400838236236651,0.8456762851748862
RandomForest,1794.062757112678,413.93804667521965,2144.22267931521,427.90034266555557,-0.08506729003064217,1.1905577092098736
GradientBoosting,1798.7093376022965,461.7166140148637,2168.5947107910224,466.07874775382373,-0.10987403041347554,1.1918445784005876
SVR,1829.993859513747,570.1575999403093,2413.8136724996125,883.2280853782293,-0.3750686699313799,0.9342495252418037
KNN,1937.0331369661264,368.66071871685364,2265.0336437272836,359.939956449956,-0.2107827239781348,1.4003933587947428
BayesianRidge,1775.4558152975467,515.9789820749374,2273.7977474495883,691.8727123226115,-0.2201706240853647,0.839180723598275
XGBoost,1788.990663508779,458.48537543070694,2121.437391736692,462.1099512974404,-0.06212917854423128,1.1442159060983383
DecisionTree,1940.3595570952532,415.97235950641686,2383.13329216232,427.73734959963883,-0.3403356490624818,1.5019756617933198
